Abdul_Bari_Siddiqui Rashtriya_Janata_Dal
Ciaran_Brogan Fianna_Fáil

Ciarán_Cannon Fine_Gael

Claude_Bachand Bloc_Québécois

Clint_Eastwood Libertarian

Colm_Keaveney Fianna_Fáil

Conor_Lenihan Fianna_Fáil

Conor_Murphy Sinn_Féin

Constance_Markievicz Fianna_Fáil

Constance_Markievicz Sinn_Féin

Costas_Simitis Panhellenic_Socialist_Movement

Crispin_Beltran Bayan_Muna

Crispin_Beltran Anakpawis

Cuauhtémoc_Cárdenas Institutional_Revolutionary_Party

Cynog_Dafis Plaid_Cymru

Cynthia_Villar Nacionalista_Party

Cyprian_Brady Fianna_Fáil

César_Pérez_Vivas COPEI

Dafydd_Wigley Plaid_Cymru

Daggubati_Purandeswari Bharatiya_Janata_Party

Daljit_Singh_Cheema Shiromani_Akali_Dal

Damian_Hockney Veritas

Daniel_Filmus Justicialist_Party

Daniel_Paillé Parti_Québécois

Daniel_Paillé Bloc_Québécois

Daniel_Scioli Justicialist_Party

Daniel_Turp Parti_Québécois

Daniel_Turp Bloc_Québécois

Danuta_Hübner Civic_Platform

Dara_Calleary Fianna_Fáil

Darbari_Lal Bharatiya_Janata_Party

Dariga_Nazarbayeva Nur_Otan

David_McNarry Ulster_Unionist_Party

David_Mwakyusa Chama_Cha_Mapinduzi

David_Namwandi SWAPO

Daviz_Simango RENAMO

Davy_Hyland Sinn_Féin

Dayanand_Mandrekar Bharatiya_Janata_Party

Dayanidhi_Maran Dravida_Munnetra_Kazhagam

Declan_Kearney Sinn_Féin

Dee_Doocey Liberal_Democrats

Deendayal_Upadhyaya Bharatiya_Jana_Sangh

Deepak_Sawant Shiv_Sena

Deirdre_Clune Fine_Gael

Denis_Naughten Fine_Gael

Denis_O'Donovan Fianna_Fáil

Denis_Verdini Forza_Italia

Dermot_Ahern Fianna_Fáil

Dermot_Nesbitt Ulster_Unionist_Party

Dessie_Larkin Fianna_Fáil

Devendra_Fadnavis Bharatiya_Janata_Party

Devendra_Prasad_Yadav Rashtriya_Janata_Dal

Devlet_Bahçeli Nationalist_Movement_Party

Dharampal_Singh Bahujan_Samaj_Party

Dharmendra Bharatiya_Janata_Party

Dharmendra_Pradhan Bharatiya_Janata_Party

Dharmendra_Yadav Samajwadi_Party

Dhruba_Bahadur_Pradhan Rastriya_Prajatantra_Party

Dilip_Ghosh Bharatiya_Janata_Party

Dilip_Patel Bharatiya_Janata_Party

Dilip_Tirkey Biju_Janata_Dal

Dimitris_Reppas Panhellenic_Socialist_Movement

Dimple_Yadav Samajwadi_Party

Dinesh_Gunawardena Mahajana_Eksath_Peramuna

Dinesh_Kashyap Bharatiya_Janata_Party

Dinesh_Sharma Bharatiya_Janata_Party

Dinny_McGinley Fine_Gael

Dipankar_Talukdar Bangladesh_Awami_League

Dipu_Moni Bangladesh_Awami_League

Diwakar_Raote Shiv_Sena

Domingo_Cavallo Justicialist_Party

Dominic_Carman Liberal_Democrats

Donald_Tusk Civic_Platform

Donie_Cassidy Fianna_Fáil

Douglas_Uggah_Embas Parti_Pesaka_Bumiputera_Bersatu

Durai_Murugan Dravida_Munnetra_Kazhagam

Durmuş_Yılmaz Nationalist_Movement_Party

Dushyant_Singh Bharatiya_Janata_Party

Eamon_Scanlon Fianna_Fáil

Eamonn_Coghlan Fine_Gael

Eddie_Ilarde Kilusang_Bagong_Lipunan

Edgar_Chatto Lakas_Kampi_CMD

Edgardo_Angara Laban_ng_Demokratikong_Pilipino

Eduardo_Bours Institutional_Revolutionary_Party

Eduardo_Duhalde Justicialist_Party

Eduardo_Ermita Lakas_Kampi_CMD

Eduardo_Gullas Nacionalista_Party

Eduardo_Mondlane FRELIMO

Edward_Lowassa CHADEMA

Edward_Lowassa Chama_cha_Mapinduzi

Edward_Ssekandi National_Resistance_Movement

Edwin_Poots Democratic_Unionist_Party

Egon_Bahr SPD

Ehud_Olmert Likud

Ehud_Olmert Kadima

Eibhlin_Byrne Fianna_Fáil

Ekmeleddin_İhsanoğlu Nationalist_Movement_Party

Eknath_Khadse Bharatiya_Janata_Party

Eknath_Shinde Shiv_Sena

Elfyn_Llwyd Plaid_Cymru

Elijah_Ngurare SWAPO

Elizabeth_Truss Liberal_Democrats

Elliott_Stonecipher Nonpartisan

Elpidio_Quirino Nacionalista_Party

Elsie_Lefebvre Parti_Québécois

Elspeth_Attwooll Liberal_Democrats

Elwyn_Watkins Liberal_Democrats

Emory_Folmar Gubernatorial

Enda_Kenny Fine_Gael

Enoch_Powell Ulster_Unionist_Party

Enrique_Mendoza COPEI

Enrique_Peña_Nieto Institutional_Revolutionary_Party

Erastus_Uutoni SWAPO

Erico_Aumentado Nacionalista_Party

Erlan_Idrissov Nur_Otan

Ernesto_Maceda Nacionalista_Party

Ernesto_Maceda Pwersa_ng_Masang_Pilipino

Ernesto_Zedillo Institutional_Revolutionary_Party

Esmael_Mangudadatu Lakas_Kampi_CMD

Esmond_Birnie Ulster_Unionist_Party

Eugene_Chien Kuomintang

Eugène_Terre'Blanche Afrikaner_Weerstandsbeweging

Eurig_Wyn Plaid_Cymru

Eva_Perón Justicialist_Party

Evangelos_Venizelos Panhellenic_Socialist_Movement

Ewa_Kopacz Civic_Platform

Ezekiel_Maige Chama_Cha_Mapinduzi

Fadel_Muhammad Golkar_Party

Fadillah_Yusof Parti_Pesaka_Bumiputera_Bersatu

Faggan_Singh_Kulaste Bharatiya_Janata_Party

Faisal_Subzwari Muttahida_Qaumi_Movement

Farah_Karimi GreenLeft

Farooq_Sattar Muttahida_Qaumi_Movement

Faruk_Khan Awami_League

Fatimah_Abdullah Parti_Pesaka_Bumiputera_Bersatu

Fausto_Bertinotti Communist_Refoundation_Party

Fazle_Noor_Taposh Bangladesh_Awami_League

Felipe_Solá Justicialist_Party

Felisa_Miceli Justicialist_Party

Femke_Halsema GreenLeft

Ferdinand_Marcos Kilusang_Bagong_Lipunan

Fergus_O'Dowd Fine_Gael

Fernando_Poe_Jr. Koalisyon_ng_Nagkakaisang_Pilipino

Fidel_Ramos Lakas_Kampi_CMD

Fidelma_Healy_Eames Fine_Gael

Filip_Dewinter Vlaams_Belang

Filip_Dewinter Vlaams_Blok

Fong_Chan_Onn Barisan_Nasional

Fra_McCann Sinn_Féin

Francie_Brolly Sinn_Féin

Francie_Molloy Sinn_Féin

Francine_Lalonde Bloc_Québécois

Francis_Pangilinan Laban_ng_Demokratikong_Pilipino

Francisco_Tatad Laban_ng_Demokratikong_Pilipino

Francisco_Tatad Kilusang_Bagong_Lipunan

Franco_Frattini Forza_Italia

Franco_Zeffirelli Forza_Italia

Frank_Feighan Fine_Gael

Frank_McCoubrey Democratic_Unionist_Party

François_Gendron Parti_Québécois

François_Legault Parti_Québécois

Fred_Cobain Democratic_Unionist_Party

Freddy_Bernal PSUV

Fuziah_Salleh Parti_Keadilan_Rakyat

G._Kishan_Reddy Bharatiya_Janata_Party

Gabriele_Albertini Forza_Italia

Gaddar Telangana_Praja_Front

Gade_Venkata_Reddy Telugu_Desam_Party

Gagan_Thapa Nepali_Congress

Gaganjit_Singh_Barnala Shiromani_Akali_Dal

Gagik_Tsarukyan Prosperous_Armenia

Gajanan_Kirtikar Shiv_Sena

Ganesh_Karnik Bharatiya_Janata_Party

Ganesh_Naik Shiv_Sena

Garret_FitzGerald Fine_Gael

Gebran_Bassil Free_Patriotic_Movement

Gebran_Tueni Qornet_Shehwan_Gathering

Gegong_Apang Bharatiya_Janata_Party

George_Mkuchika Chama_Cha_Mapinduzi

George_Papandreou Panhellenic_Socialist_Movement

George_Petalotis Panhellenic_Socialist_Movement

Georgi_Parvanov Bulgarian_Socialist_Party

Gerry_Adams Sinn_Féin

Gertrude_Mongella Chama_Cha_Mapinduzi

Ghanshyam_Tiwari Bharatiya_Janata_Party

Ghulam_Farooq_Wardak Hezbi_Islami

Gianluca_Buonanno Lega_Nord

Gil_Puyat Nacionalista_Party

Gilbert_Bukenya National_Resistance_Movement

Gilles_Duceppe Bloc_Québécois

Gilles_Taillon Action_démocratique_du_Québec

Giorgos_Papakonstantinou Panhellenic_Socialist_Movement

Girija_Prasad_Koirala Nepali_Congress

Giriraj_Singh Bharatiya_Janata_Party

Girish_Bapat Bharatiya_Janata_Party

Giuliano_Ferrara Forza_Italia

Giuliano_Urbani Forza_Italia

Giulio_Tremonti Forza_Italia

Gloria_Macapagal_Arroyo Laban_ng_Demokratikong_Pilipino

Gloria_Macapagal_Arroyo Kabalikat_ng_Malayang_Pilipino

Godfrey_Binaisa National_Resistance_Movement

Golda_Meir Mapai

Gopal_Bhargava Bharatiya_Janata_Party

Gopal_Shetty Bharatiya_Janata_Party

Gopinath_Munde Bhartiya_Janata_Party

Gordon_Birtwistle Liberal_Democrats

Govind_Patel Bhartiya_Janata_Party

Greg_Gutfeld Libertarian

Greg_Mulholland Liberal_Democrats

