Aamir_Khan Kiran_Rao
Korina_Sanchez Mar_Roxas
Krishnan_Ganesh Meena_Ganesh
Kristen_Bell Dax_Shepard
Kublai_Khan Chabi
Kunal_Khemu Soha_Ali_Khan
Kyaw_Min_Yu Nilar_Thein
Lalu_Prasad_Yadav Rabri_Devi
Laura_Benanti Steven_Pasquale
Laura_Ingalls_Wilder Almanzo_Wilder
Laura_Ziskin Alvin_Sargent
Lauren_Bacall Jason_Robards
Laurence_Luckinbill Lucie_Arnaz
Lee_Hsien_Loong Ho_Ching
Lee_Kuan_Yew Kwa_Geok_Choo
Leila_McKinnon David_Gyngell
Leland_Orser Roma_Downey
Leland_Orser Jeanne_Tripplehorn
Len_Wiseman Kate_Beckinsale
Lena_Horne Lennie_Hayton
Leon_Golub Nancy_Spero
Leona_Helmsley Harry_Helmsley
Leonard_Hofstadter Penny
Leopold_Bloom Molly_Bloom
Lesley_Manville Gary_Oldman
Leslie_Manigat Mirlande_Manigat
Leslie_Mann Judd_Apatow
Levy_Mwanawasa Maureen_Mwanawasa
Lily_Safra Edmond_Safra
Linda_Lavin Ron_Leibman
Linda_Rottenberg Bruce_Feiler
Lindy_Boggs Hale_Boggs
Lionel_Trilling Diana_Trilling
LisaRaye_McCoy Michael_Misick
Lisa_Bonet Jason_Momoa
Lisette_Lapointe Jacques_Parizeau
Liza_Featherstone Doug_Henwood
Liza_Minnelli David_Gest
Lola_Van_Wagenen Robert_Redford
Lord_Peter_Wimsey Harriet_Vane
Lorenzo_Lamas Shauna_Sand
Loretta_Swit Dennis_Holahan
Lorna_Tolentino Rudy_Fernandez
Lou_Adler Shelley_Fabares
Louis_Malle Candice_Bergen
Luba_Mason Rubén_Blades
Luc_Besson Milla_Jovovich
Luciana_Pedraza Robert_Duvall
Lucius_Verus Lucilla
Lucy_Lawless Robert_Tapert
Luis_Muñoz_Marín Muna_Lee
Luise_Rainer Clifford_Odets
Lynn_Fontanne Alfred_Lunt
Lynn_Margulis Carl_Sagan
Madeleine_Stowe Brian_Benben
Maggie_Cheung Olivier_Assayas
Mahmood_Mamdani Mira_Nair
Majel_Barrett Gene_Roddenberry
Malcolm_X Betty_Shabazz
Mallika_Srinivasan Venu_Srinivasan
Mana_Shetty Suniel_Shetty
Manav_Gohil Shweta_Kawatra
Mandavi Bharata
Mandira_Bedi Raj_Kaushal
Manmohan_Singh Gursharan_Kaur
Mao_Zedong Jiang_Qing
Marcus_Mumford Carey_Mulligan
Marg_Helgenberger Alan_Rosenberg
Margaret_Sullavan William_Wyler
Margarethe_von_Trotta Volker_Schlöndorff
Margarita_Zavala Felipe_Calderón
Maria_Elena_Durazo Miguel_Contreras
Marian_Seldes Garson_Kanin
Mariane_Pearl Daniel_Pearl
Marilu_Henner Frederic_Forrest
Marilyn_vos_Savant Robert_Jarvik
Mark_Consuelos Kelly_Ripa
Mark_Duplass Katie_Aselton
Mark_Neveldine Alison_Lohman
Mark_Prisk Lesley_Titcomb
Mark_Sanford Jenny_Sanford
Marlo_Thomas Phil_Donahue
Marlon_Brando Anna_Kashfi
Marta_Domingo Plácido_Domingo
Marta_Suplicy Eduardo_Suplicy
Martha_Raddatz Tom_Gjelten
Martha_Schrader Kurt_Schrader
Maryam_Abacha Sani_Abacha
Massoud_Rajavi Maryam_Rajavi
Mata_Sundari Guru_Gobind_Singh
Maury_Povich Connie_Chung
Max_Azria Lubov_Azria
Mayank_Anand Shraddha_Nigam
Meena_Kumari Kamal_Amrohi
Meera_Syal Sanjeev_Bhaskar
Meeru_Dhalwala Vikram_Vij
Megan_Ambuhl Charles_Graner
Megan_Mullally Nick_Offerman
Meir_Zarchi Camille_Keaton
Mel_Brooks Anne_Bancroft
Mel_Carnahan Jean_Carnahan
Melanie_Lynskey Jimmi_Simpson
Meles_Zenawi Azeb_Mesfin
Meryl_Streep Don_Gummer
Michael_Bublé Luisana_Lopilato
Mick_Jagger Bianca_Jagger
Mike_Ilitch Marian_Ilitch
Mike_Kowall Eileen_Kowall
Mikheil_Saakashvili Sandra_Roelofs
Mila_Kunis Ashton_Kutcher
Mina_Harker Jonathan_Harker
Mini_Mathur Kabir_Khan
Minnie_Mortimer Stephen_Gaghan
Missy_Peregrym Zachary_Levi
Missy_Rothstein Bam_Margera
Miyuki_Hatoyama Yukio_Hatoyama
Mohamed_Morsi Naglaa_Mahmoud
Mohan_Sharma Lakshmi
Mohit_Suri Udita_Goswami
Moira_Shearer Ludovic_Kennedy
Molly_Ringwald Panio_Gianopoulos
Molly_Sims Scott_Stuber
Mona_Zaki Ahmed_Helmy
Monica_Bellucci Vincent_Cassel
Moses Zipporah
Mukesh_Ambani Nita_Ambani
Muzaffar_Ali Subhashini_Ali
Mwai_Kibaki Lucy_Kibaki
Myriam_Ullens Guy_Ullens
Nana_Visitor Alexander_Siddig
Nancy_Juvonen Jimmy_Fallon
Nancy_Meyers Charles_Shyer
Nancy_Reagan Ronald_Reagan
Nancy_Tellem Arn_Tellem
Nansun_Shi Tsui_Hark
Naoki_Tanaka Makiko_Tanaka
Naomi_Foner_Gyllenhaal Eric_Foner
Naresh_Trehan Madhu_Trehan
Naseeruddin_Shah Ratna_Pathak
Nasira_Iqbal Javed_Iqbal
Natasha_Henstridge Damian_Chapa
Natasha_Leggero Moshe_Kasher
Natasha_Richardson Liam_Neeson
Nazneen_Contractor Carlo_Rota
Neal_Conan Liane_Hansen
Neetu_Singh Rishi_Kapoor
Neill_Blomkamp Terri_Tatchell
Nelson_Mandela Graça_Machel
Nelson_Mandela Evelyn_Mase
Niamh_Cusack Finbar_Lynch
Nicholas_Winterton Ann_Winterton
Nick_Raynsford Alison_Seabeck
Nicolas_Cage Lisa_Marie_Presley
Nicolas_Cage Patricia_Arquette
Nicolas_Sarkozy Carla_Bruni
Nicolás_Maduro Cilia_Flores
Nik_Richie Shayne_Lamas
Niki_Tsongas Paul_Tsongas
Nikki_Reed Ian_Somerhalder
Nino_Burjanadze Badri_Bitsadze
Nirmala_Sitharaman Parakala_Prabhakar
Nirosha Ramki
Nora_Ephron Nicholas_Pileggi
Norman_Podhoretz Midge_Decter
Nusrat_Bhutto Zulfikar_Ali_Bhutto
Odette_Annable Dave_Annable
Oliver_Dimsdale Zoe_Tapper
Olivia_Chow Jack_Layton
Olivia_Wilde Tao_Ruspoli
Olivier_Martinez Halle_Berry
Ollanta_Humala Nadine_Heredia
Olusegun_Obasanjo Stella_Obasanjo
Olympia_Dukakis Louis_Zorich
Orlando_Bloom Miranda_Kerr
Orson_Welles Rita_Hayworth
Pallavi_Joshi Vivek_Agnihotri
Pamela_Anderson Rick_Salomon
Pamela_Stephenson Billy_Connolly
Pankaj_Kapur Supriya_Pathak
Pankaj_Kapur Neelima_Azeem
Parmeet_Sethi Archana_Puran_Singh
Pascale_Ehrenfreund Bernard_Foing
Patrick_Swayze Lisa_Niemi
Patrizio_Bertelli Miuccia_Prada
Paul_Auster Siri_Hustvedt
Paul_Biya Chantal_Biya
Paul_Gillmor Karen_Gillmor
Paul_McCartney Heather_Mills
Paula_Patton Robin_Thicke
Penehupifo_Pohamba Hifikepunye_Pohamba
Peng_Liyuan Xi_Jinping
Penny_Collenette David_Collenette
Peter_Sarsgaard Maggie_Gyllenhaal
Peter_Sellers Britt_Ekland
Phil_Bredesen Andrea_Conte
Phil_Bronstein Sharon_Stone
Phoebe_Cates Kevin_Kline
